,Mad Max
453,"@jlichman If Terrence Malick made a Mad Max movie and was totally stupid, it'd be Bellflower."
454,"@Abbey_Bender That said, FYC, all categories: Mad Max: Fury Ro-- [snatched by pole-cats]"
455,"ICYMI: ""Mad Max: Fury Road."" If this is anti-male propaganda, more please.  http://t.co/ARGBzqgvOR"
456,I'm with @reed_tucker: 'Mad Max' should win Best Picture https://t.co/WduKaa5h8n via @nypost
457,Here's the Mad Max / Unbreakable Kimmy Schmidt mashup you didn't know you needed http://t.co/vrNMv6A5G5 via @verge
458,"RT @WomenaHollywood: Oops! I Made a Feminist Manifesto: George Miller and ""Mad Max"" http://t.co/GRAbc1JIy8 http://t.co/RTi1yz65Mj"
459,"""Mad Max"" has five nominations already at #Oscars"
460,"Director George Miller talks 'Mad Max: Fury Road': Yes, that's him, Max Rockatansky, aka Mad Max, still wander... http://t.co/CtAdqmqlCN"
461,"RT @boxofficemojo: 'Mad Max: Fury Road' is now rated R for ""intense sequences of violence throughout, and for disturbing images"": http://t.…"
462,"RT @MarkHarrisNYC: My final entry for the 2015 Slate Movie Club--Mad Max, Spotlight, great screenwriting, and the worst last line ever. htt…"
463,"NBR names Mad Max: Fury Road the year's best film, raising once again the age-old question: what exactly is the NBR? https://t.co/egsq7AfJ8h"
464,@DarthConans  (2/2) ..it wasn't for me but people are really going for it. If you are curious &amp; liked the old Mad Max trilogy give it a try!
465,@DarthConans If you put something in front of the @ at the beginning of a tweet everyone who follows you will see. As for Mad Max...(1/2)
466,"Wow, @aoscott http://t.co/3g576raUXL … &amp; @kphipps3000 https://t.co/9Mtg8VLkDS … really went for Mad Max: Fury Road. Should I re-see in 3D?"
467,"Today's high point: finishing Mad Max: Fury Road review on a NJ transit bus after sprinting thru Port Authority to catch it, Charlize-style."
468,"I loved the first hour of ""Mad Max: Fury Road,"" then grew increasingly impatient with the second hour. You'll see: http://t.co/KegJfZ65TR"
469,The DGA and PGA nominations for Mad Max Fury Road make it clear that it will get a Best Picture nom at the Oscars. Plus many tech noms.
470,National Board of Review picks Mad Max Fury Road as Best Picture. This is the right choice.
471,"Pitch Perfect 2 made $28 million last night; Mad Max, $17 million."
472,My take on how feminist storyline of ‘Mad Max: Fury Road’ makes it a better movie. http://t.co/przFooBRMB
473,I'm sure colleague @sarafstewart will have a take on this: Mad Max: Fury Road feminist picture of the year http://t.co/przFooBRMB @nypost
474,I need to see some GIFs of the Mad Max Warboys inhaling that silver stuff.
475,@jpodhoretz @SonnyBunch I still say: No way PP2 outgrosses Mad Max at the domestic box office.
476,"@MrTimHerlihy to me, fact that boys + girls &gt; girls helps Mad Max. The word of mouth is going to be cray-cray on Max."
477,"Watching Mad Max: Fury Road, I thought: I definitely want to see this again. Can't remember last time I thought that at a blockbuster."
478,"If only Mad Max and Furiosa had spent some time bantering about home-renovation plans in the climactic chase, woulda made it so much cooler."
479,"What ""Mad Max: Fury Road"" really needed was some clunky Joss Whedon catchphrases and more smirking."
480,"Mad Max. Fury Road.
Hell yeah. 
Great, great stuff."
481,From @Reed_Tucker: 'Mad Max' creator: Why I cut Mel Gibson from 'Fury Road' http://t.co/IZ6S16uQmK via @nypost
482,RT @IWCriticwire: Village Voice film poll: Mad Max: Fury Road is 2015’s best; Me and Earl and the Dying Girl its worst: https://t.co/1IZh5v…
483,"Ride, Mad Max, ride. FIPRESCI votes yay. http://t.co/2YCncSoVNb"
484,Mad Max: Mario Kart Fury gets murderously Miyamoto - destructoid http://t.co/YPYP7x2yac
485,"RT @killscreen: ICYMI: The righteous return of road warrior Mad Max, and what it means for videogames http://t.co/QUJLdrvor0 http://t.co/z9…"
486,"RT @vigalondo: Ya he visto Mad Max. Bueno, se trataba de llegar a este punto. Ya podemos CERRAR EL CINE ¿no?"
487,"RT @akstanwyck: 'Mad Max: Fury Road' Auteur George Miller Does It His Way, No Matter How Long It Takes http://t.co/QPR6YkPpwb"
488,"@michellelsaid It's lonely here at the ""are they kidding about Mad Max?"" club, isn't it?"
