,Carol
486,Fancy seeing Carol with a period-perfect G&amp;T in hand? Then come to our exclusive screening: https://t.co/kYg6i0LrH0 https://t.co/xjUHZx5kXR
487,Watch Cate Blanchett and Rooney Mara in the first full trailer for Carol http://t.co/K9gdHrf3Fa
488,ICYMI: the first trailer for the utterly marvellous Carol has arrived http://t.co/MLXaoIYKGn http://t.co/UHonny8bqj
489,Watch: Carol teaser trailer brings romance to Cate Blanchett and Rooney Mara http://t.co/1noTc5QQHR
490,Carol ★★★★★ #Cannes2015 review: 'Cate Blanchett will slay you' http://t.co/xxxHtwGaay http://t.co/nUCEysCWic
491,"Todd Haynes's Carol review ★★★★★ 'Cate Blanchett will slay you', says @trim_obey: http://t.co/xxxHtwXLz8 #Cannes2015 http://t.co/4jQge0wOiU"
492,Carol coming to DVD and Blu-ray in March https://t.co/0HQHbVeZBR
493,'Carol' and 'Mad Max: Fury Road' lead the Golden Globe 2016 Nominations https://t.co/0aTm1Ws4Bc
494,#Carol: a flawless film that will stay with you for a long time. https://t.co/Dk27VVqLFi
495,RT @TalkingPicsTV: EARLY WARNING 7pm Outcast of the Islands 1951 Drama by#CarolReed #RalphRichardson &amp; #TrevorHoward @altfilmguide https://…
496,"@WilliCaroline Fair point, but  2,400 theaters is plenty wide enough to do better than .$16m."
497,@AxelleCarolyn Also the article was written by someone you've ever met. #creepy
498,"RT @latimes: Super BowL; Will Carolina's Thomas Davis play Sunday despite arm fracture? ""Without a doubt"" https://t.co/jPVN23Tsef https://t…"
499,RT @latimesmovies: Screen Actors Guild Awards 2016: Queen of Comedy Carol Burnett receives the Life Achievement Award https://t.co/aQbHRTUJ…
500,"SAG Life Achievement honoree Carol Burnett keeps racking up fans, 'from 9 to 90' https://t.co/YIolHFlOy3"
501,RT @latimesmovies: Nicholas Sparks on his connection with North Carolina's setting for 'The Choice' https://t.co/4Hp2bDhIuZ
502,"'Bridge of Spies,' 'Carol,' 'Mad Max' among Society of Cinematographers nominees https://t.co/sXTD38V0QX"
503,"Todd Haynes won NSFC's best director award for ""Carol"""
504,"Ed Lachman won cinematographer honors for ""Carol"" from NSFC"
505,"RT @gettv: An actor must either be wonderful, or know nothing about acting. A little knowledge-that's what is bad.
--#CarolReed https://t.c…"
506,RT @CBSLA: UPSET ALERT: Atlanta Falcons lead unbeaten Carolina Panthers 17-13 with 2:23 to go in the 4th. Panthers ball.
507,"Colin Gibson won production design from LAFCA for ""Mad Max: Fury Road"" with Judy Becker, the runner-up for ""Carol."""
508,"Los Angeles Film Critics select Carter Burwell for music score for Anomalisa and Carol. Ennio Morricone runner-up for ""The Hateful Eight"""
509,"Los Angeles Film Critics Assn. give cinematography honors to John Seale for ""Mad Max: Fury Road."" Runner up was Edward Lachman for Carol"""
510,RT @latimesmovies: 'Carol' is selected best film of 2015 by the New York Film Critics Circle https://t.co/6qQr5Y5aCD
511,"New York Film Critics Circle voted Phyllis Nagy best screenplay for ""Carol"""
512,"NYFCC named Edward Lachman for best cinematographer for ""Carol"""
513,"Yep, Carol and Green Room: http://t.co/wKRSdj7awA"
514,"Todd Haynes's Carol is spare and beautiful. Another Oscar for Sandy Powell, surely #Cannes2015"
515,@AxelleCarolyn No! The Babadook finds *you*!
516,RT @_CarolMorley: John Smith was my tutor at St Martins and I LOVE his work. If you're in Paris do see his show! La Galerie at Noisy-le-sec…
517,"@_CarolMorley I'm having a flashback! Did I say a proper hello? If not, please belatedly accept a proper hello."
518,Just saw some footage of Todd Haynes's Carol. Beyond excited. #Cannes2014 #Film4
519,ABC refuses to show Carol ad featuring lesbian love scene https://t.co/1AmfvILS6N
520,Carol sweeps gay and lesbian critics' awards after Oscars snub https://t.co/NVSv2MOtaf
521,Bafta 2016 nominations: Bridge of Spies soars and Carol feels the love https://t.co/BpyNNWwkQ8
522,Bafta nominations 2016: Carol and Bridge of Spies lead the pack https://t.co/Erc9Zav06S
523,Carol leads nominations for UK Critics' Circle awards https://t.co/TeXk6KBJ1r
524,The 50 best films of 2015 in the UK – No 5: Carol https://t.co/cxovyo6HYF
525,Carol leads 2016 Golden Globe nominations with five nods https://t.co/z4ZHXSobH4
526,"Golden Globes 2016: Carol, Mad Max: Fury Road and Trainwreck among nominations – video https://t.co/STpULN8CHh"
527,"Carol, Mad Max and Trainwreck shine in Golden Globes nominations https://t.co/qttOkSgkju"
528,The 50 best films of 2015 in the US – No 7: Carol https://t.co/9kJWUzivU8
529,"Carol sweeps board at New York Film Critics awards, as Keaton pulls off coup https://t.co/wmi5xo03Mq"
530,Bridge of Spies beats Black Mass and Carol in prestige week at UK box office https://t.co/cWYl3aSqP9
531,Carol review – Cate Blanchett and Rooney Mara are dynamite https://t.co/c4Ztud2783
532,"The Guardian film show: Bridge of Spies, Carol, The Good Dinosaur and Black Mass - audio reviews https://t.co/APiYsRs21x"
533,That's a wrap: will Carol's Christmas paper offer mean you see the movie? https://t.co/WhMwlFTZBe
534,"The Guardian film show: Bridge of Spies, Carol, The Good Dinosaur and Black Mass - video reviews https://t.co/e8ib3fCdIa"
535,Carol - video review https://t.co/MWPDYYKbnO
536,Carol review – Cate Blanchett superb in a five-star tale of forbidden love https://t.co/aw06BH28It
537,Todd Haynes's Carol leads Independent Spirit awards nominations https://t.co/1RDsVKEdCq
538,Cate Blanchett on Carol: 'The first time love between two women didn't end badly' – video interview https://t.co/05bmYJqWTX
539,Carol: the best Patricia Highsmith adaptation to date? https://t.co/ys4bQnSejp
540,An exclusive clip from Oscar-buzzed romance Carol with Cate Blanchett and Rooney Mara https://t.co/R8W2lVWSJB https://t.co/ZxVvzvRckx
541,How Patricia Highsmith's Carol became a film: 'Lesbianism is not an issue. It's a state of normal' https://t.co/GwB6ORfk1x
542,Carol Morley interview: ‘Bugsy Malone reminds me of my dad’ https://t.co/p6n13Rcelc
543,Ice Cube to play Scrooge in Christmas Carol movie Humbug http://t.co/MzDYvHCP4q
544,Cate Blanchett falls for Rooney Mara in first trailer for Oscar-tipped Carol http://t.co/m44f9R3Cqm
545,@Carolellebeau @CBeebiesHQ YES.. i would so love to do more.. one of my favourite things ever x
546,"I was so certain this awards season's Inside Llewyn Davis/Inherent Vice was going to be Carol, I've only just twigged it's The Hateful Eight"
547,"And 5, obviously: @trim_obey on Carol: https://t.co/0e3nSgXxI3"
548,"Room beats Carol, Force Majeure, Girlhood and Son of Saul."
549,The Sight &amp; Sound poll ain't playin. Carol is one of the best films of the year. @trim_obey on a modern masterpiece https://t.co/0e3nSgXxI3
550,".@trim_obey's about to talk about Carol on @BBCFilm2015. I have a fire extinguisher standing by the television, just in case"
551,RT @annaleszkie: Carol / Ruth Orkin https://t.co/gqJs8B7mOY
552,RT @annaleszkie: Carol / Saul Leiter https://t.co/xT7RCzwBtG
553,Just horrible to think World War Three might start before Carol comes out :( https://t.co/ZE3GmDj6hR
554,"@MHarrison90 That's the one I suspect will falter. Carol will be smaller, but should make more per screen, if there's any justice"
555,"I mean my *God*, if there's a film with which to reacquaint yourself with the purr and glamour of 35mm projection, Carol is the one"
556,".@CentralPictureH is screening Carol on 35mm for two weeks, inc. a Todd Haynes Q&amp;A on the 24th. More of this please https://t.co/2VplkRDRrf"
557,"RT @XanBrooks: Interviewed Cate Blanchett for @guardianweekend. Her new film, Carol, is one of 2015's best https://t.co/17QljsJ0dW"
558,Kickstarter for a coffee table book of Carol tweets
559,"@AnnaEHiggs @SiRenshaw And you were likewise glimpsed! Such a fun night. Should be out again for Carol, if you're going?"
560,"@FilmFan1971 @charlesgant @pr10 @boydhilton For me, Carol and The Assassin are the two best films there. Very different, both essential"
561,"Personal picks from what I've already seen are The Assassin, Carol, The Assassin, The Assassin, Carol, The Assassin, Carol, Carol and Carol."
562,@E_Film_Blog It's currently jousting with Carol and The Assassin. A completely ridiculous top three
563,"@gambit_100 UK release-wise, Inside Out. But possibly better still are Carol and The Assassin."
564,Keira Knightley in talks to star in ‘Carol’ producers’ ‘Colette’ https://t.co/WxprRAlwrT https://t.co/4e8KfN8r0g
565,"RT @tntdrama: ""Comedy variety is a man's game?"" #CarolBurnett says... https://t.co/xZYLHoUohc"
566,#CarolBurnett receives the 52nd Annual SAG Life Achievement Award!🏆#sagawards https://t.co/FMGjkoDCVK
567,RT @SAGawards: Standing ovation for #CarolBurnett at the #sagawards🎭! https://t.co/f3pBGXOVh0
568,"‘Empire’, ‘Carol’, ‘Danish Girl’ &amp; ‘Grandma’ among #GLAAD Awards nominees https://t.co/JR5QMQRnJq https://t.co/FWnpDi0loy"
569,"‘Straight Outta Compton,’ ‘Carol’ win Guild of Music Supervisors Awards https://t.co/zJkqyslLmy https://t.co/ptf4lFBINP"
570,#Carol sweeps Gay and Lesbian Entertainment Critics Awards: https://t.co/mvKMhKDtai https://t.co/IIBcWEGXPV
571,"#IMDbTrivia: Mia Wasikowska was originally cast in the role of Therese Belivet in #Carol, now played by Rooney Mara https://t.co/RgnaUgcrQl"
572,‘Carol’ and ‘Bridge of Spies’ lead #BAFTA Awards nominations:  https://t.co/keRgkm5Xf4 https://t.co/HSsa6rEzcn
573,"'Carol,' 'Big Short' lead Australian Academy nominations: https://t.co/qALg9WnH1w https://t.co/TMmdSez60p"
574,‘Carol’ tops Variety Film critics poll: https://t.co/ZIb7gGeSFK https://t.co/0VQzC0e993
575,"""Carol,"" ""The Big Short,"" and ""The Revenant"" lead #GoldenGlobes nominations. Full list: https://t.co/aVKZc0yLNX https://t.co/B5xiDdI8Ik"
576,"Watch this emotionally charged #exclusive clip from @CarolMovie w/ Cate Blanchett, Kyle Chandler &amp; Rooney Mara. 
https://t.co/M6HUcMgKCc"
577,"'The Assassin,' 'Carol,' 'Mad Max: Fury Road' Top BFI Sight &amp; Sound's Best Of 2015 https://t.co/r7m6Lc8jNl"
578,"'Carol,' 'Spotlight,' 'Beasts of No Nation' lead Spirit Awards Nominations https://t.co/pcmcZV83AO"
579,"IMDb chats about character relationships in #Carol with Rooney Mara, Cate Blanchett, and Sarah Paulson.
https://t.co/VcotmUyIFq"
580,"IMDb chats about character relationships in #Carol with Rooney Mara, Cate Blanchett, and Sarah Paulson.
https://t.co/0BZTN08DUv"
581,"Send us your burning Q's for Cate Blanchett, Rooney Mara, and Sarah Paulson about @CarolMovie! https://t.co/CTKhyyWfxa"
582,"Gotham Awards nominations boost #Oscar frontrunners 'Spotlight,' 'Carol' &amp; 'Room' https://t.co/p9mLSkYolj"
583,Nominees for the 36th London critics’ circle film awards announced https://t.co/Dtfc4KOAr0  #Carol #MadMax #45years https://t.co/TpyfJfZECX
584,"Ed Lachman gets long, emotion-filled standing ovation on winning the Golden Frog for Carol at @CamerimageFest tonight. #cinematography"
585,@AxelleCarolyn @EtheriaFN Congrats!
586,"WATCH: The Falling – #MaisieWilliams, Florence Pugh, Joe Cole &amp; Carol Morley interviews (via @premscene)  http://t.co/bcWs5GPhJw"
587,Keira Knightley in Talks to Star in ‘Carol’ Producers’ ‘Colette’ https://t.co/2LbiyXTzpE
588,Carol Burnett remembers the first time she met Lucille Ball #SAGAwards #backstage https://t.co/OxkeHbfBbr
589,Carol Burnett recalls early benefit performance ahead of SAG honor https://t.co/sqAFAyIWzv https://t.co/ZF5WJAdOyw
590,"'Carol,' 'Danish Girl,' 'Empire' among #GLAADAwards nominees https://t.co/krONj3RRAa https://t.co/axrhf9LP9K"
591,Carol Burnett looks back https://t.co/9rF8yit1KP https://t.co/qV5HWujzSG
592,SAG life achievement honoree Carol Burnett on her career and giving back https://t.co/9rF8yit1KP https://t.co/3QohylqgJp
593,Former Time Warner Exec Carolyn Dailey Launches Creative Entrepreneurs Initiative https://t.co/NIm0tJRfy6
594,"‘Compton,’ ‘Carol,’ ‘Furious 7’ Among Winners at Music Supervisors Awards
https://t.co/Ij8EFh8eii https://t.co/HMJfDyiiA5"
595,Cate Blanchett reveals her fear in tackling #Carol. https://t.co/4zKFxtkHy5 https://t.co/1tkjAdcR4g
596,Cate Blanchett reveals her fear in tackling #Carol (VIDEO) https://t.co/4zKFxtkHy5 https://t.co/K8mMZC5GCP
597,Variety taps Carolyn Horwitz as Managing Editor https://t.co/lrh4Egev2G https://t.co/neSymIaKcb
598,"‘Carol’ Screenwriter Adapting ‘Telex From Cuba’ For Paramount TV, Anonymous Content https://t.co/sS7ASbD9c8"
599,.@CarolMovie sweeps Gay and Lesbian Entertainment Critics Awards https://t.co/LNTH1VlxF5 https://t.co/9Tsf3B7T3C
600,One costume designer added color to both #Carol and #Cinderella https://t.co/Cxe3ecykeA https://t.co/IxhfuLi5OH
601,"Best Original Score
Bridge of Spies
Carol
The Hateful Eight
Sicario
Star Wars: The Force Awakens #OscarNoms"
602,"Adapted Screenplay:
The Big Short
Brooklyn
Carol
The Martian
Room 
#OscarNoms"
603,"Best Costume Design - Carol, Cinderella, The Danish Girl, Mad Max: Fury Road, The Revenant #OscarNoms"
604,"Best Cinematography - Carol, The Hateful Eight, Fury Road, The Revenant, Sicario #OscarNoms"
605,RT @THRmovies: Keira Knightley in Talks to Star in Biopic 'Colette' From 'Carol' Producers https://t.co/eQFoI00xmz https://t.co/yV3LpirYlh
606,Keira Knightley in Talks to Star in Biopic 'Colette' From 'Carol' Producers https://t.co/c0weQWB6W1 https://t.co/4kS8Xg6Ne0
607,"#SAGAwards: 'The Big Short,' 'Trumbo,' 'Carol' shut out https://t.co/sHTGeegGiA https://t.co/MQQH8vskXG"
608,"#SAGAwards: Carol Burnett accepts Life Achievement Award from Tina Fey, Amy Poehler https://t.co/v2mUUciNm8 https://t.co/Os99SqSa9J"
609,"#SAGAwards: Watch Carol Burnett accept the Lifetime Achievement Award
 https://t.co/YOdW1bjg4z https://t.co/vtUm6DYSbb"
610,#SAGAwards: Watch Tina &amp; Amy present Carol Burnett with the Lifetime Achievement Award https://t.co/FWekNhT1GR https://t.co/Nbn2QTp4AD
611,"RT @TheFienPrint: Lifetime Achievement Award time for Carol Burnett at #SAGAwards. ICYMI, our chat: https://t.co/adR8r5ysBT"
612,RT @pretareporter: Heels? Carol Burnett opted for UGG slippers at the #SAGAwards instead: https://t.co/T1dWbyQK5U https://t.co/JqpqdbBe1S
613,#SAGAwards: Tina Fey &amp; Amy Poehler will present Carol Burnett with a Life Achievement Award https://t.co/iYP95KLbXm https://t.co/DWttNvloEU
614,"'Mad Max,' 'Carol' Big Winners at Australian Academy's International Awards https://t.co/HP8VOPvkEw https://t.co/nndxiUIk4J"
615,RT @pretareporter: 20 Carol Burnett style moments we completely adore: https://t.co/IfhpA4tTX8 https://t.co/lrR5GJP131
616,ABC rejects #CarolMovie ad featuring nude love scene https://t.co/1TGmymFHjT https://t.co/c4xpBvHZ4y
617,"Carol Burnett on the state of comedy TV: ""Bored of producers saying it's got to be edgy"" https://t.co/DXprtFF67o https://t.co/06jl5WH1Tf"
618,RT @pretareporter: 20 Carol Burnett style moments we adore: https://t.co/HOwJq3k81b https://t.co/A5q68QRMi9
619,RT @pretareporter: 20 Carol Burnett style moments we adore: https://t.co/pGIQCx8zlh https://t.co/NUCNTyR2Ig
620,#SAGawards: Tina Fey and Amy Poehler to present Carol Burnett with Life Achievement Award https://t.co/7SSjxSKrFD https://t.co/2LkpeUQimt
621,"#SuperBowl 50: Denver Broncos, Carolina Panthers Set to Face Off https://t.co/4pZ6OvXc5x https://t.co/wUosU1pA97"
622,#Carol Screenwriter Adapting Fidel Castro Drama 'Telex From Cuba’ https://t.co/nhMoj1qQrG https://t.co/Sn3PESR7yT
623,RT @THRmovies: Anatomy of a Contender: The Making of 'Carol' https://t.co/UKCX8pJeyW https://t.co/S4gqpxZ1iq
624,"RT @XanBrooks: Interviewed Cate Blanchett for @guardianweekend. Her new film, Carol, is one of 2015's best https://t.co/17QljsJ0dW"
625,"RT @NeilKBrand: #ChristmasCarol airs today R4 2.30pm - listen on the best system you've got, so maybe off i-player or download - awesomely …"
626,Astro-physicist Carole Mundell reviewing the papers on BBC Breakfast wearing a brilliant newspaper frock http://t.co/e3oeUlvx1z
627,DVD: The Carol Burnett Show — Treasures from the Vault: This year's Screen Actor's Guild lifetime achievement ... https://t.co/Fd8i06C3Wh
628,The Razzleberry Dressing Song from “Mr. Magoo’s Christmas Carol”: Mr. Magoo's Christmas Carol has some of the ... https://t.co/Ewg8AEZwh8
629,Claymation Carol of the Bells: Number 4 in my series of great Christmas movie moments is one of our family fav... https://t.co/HZtHaWNQZu
630,"Carolyn Hax on the Toughest Media Question Parents Face: I am a huge fan of advice columnist Carolyn Hax, whos... http://t.co/o76DnfnmOH"
631,@afwoodjr @NewsWomenFans @CarolSilvaNews @Elizabethnews12 @ElisaDiStefano merry merry...a little late
632,@NewsWomenFans @CarolSilvaNews @Elizabethnews12 @ElisaDiStefano LOVE LOVE LOVE these ladies!!!
633,"RT @CriticsChoice: #CriticsChoice @BridgeOfSpies, #BrooklynMovie, @CarolMovie, @danishgirlmov, @madmaxmovie, @MartianMovie https://t.co/fAW…"
634,"RT @CriticsChoice: #CriticsChoice @CarolMovie, @thehatefuleight, @madmaxmovie, @MartianMovie, @RevenantMovie, @SicarioMovie https://t.co/70…"
635,Working with the talented Carol Wilkinson today!! http://t.co/JEV04vySxR
636,@CarolSilvaNews @News12LI Thank you for this....I am printing and putting on my desk and fridge!
637,RT @CarolSilvaNews: #BostonMarathon CNN: FBI has clear image from Lord&amp;Taylor video of dark skinned suspect leaving package at bomb  ...
638,watching Carolina Hurricanes vs Detroit Red Wings
639,Wings making a comeback! — watching Carolina Hurricanes vs Detroit Red Wings
640,watching Carolina Hurricanes vs Detroit Red Wings
641,"""Saints &amp; Sinners,"" Carol Burnett, ""Fast 'n Loud,"" Spencer  Pratt,  ""Magic Mike,"" ""Hawaii Five-O,"" ""The Hills,"" and a dog named  George."
642,"I'll tell you what I think of the Cat fight in Carolina.
Hollywood's reaction to the new Oscar host.
Good news, bad news for Honey Boo Boo."
643,#AllDayBreakfast : I'm lovin' it! Kudos to Carol Massie!
644,"@FBNSamo Gotta go with Pats, cuz they're more colorful. Still, Hawks coached by Pete Carol of USC... Heard it's least crowded day at Dnylnd."
645,"RT @JoyceCarolOates: It does seem that perhaps the elderly Harper Lee is being exploited; yet still. the ""sequel"" will be of interest to st…"
646,@mtgilchrist 😂 so crazy we ended up on the same plane! Are we doing a press junket in North Carolina? https://t.co/x5C5xI44PG
647,"Watching the #XFiles after an amazing weekend of snow, #DenverBroncos &amp; #CarolinaPanthers wins &amp; gr8 family time https://t.co/NF3b929C1E"
648,"RT @wgwgdotorg: @Noeltmanning &amp; @adamfilmfan1970 review several films including #Hateful8, Joy, The Revenant, Carol &amp; Concussion https://t.…"
649,As I have been driving around boiling Springs North Carolina the past few days I am reminded that I am happy that Santa has a  Rudolph
650,#CarolinaPanthers #keeppounding 12-0 #NFCsouth champs #ohyeah
651,What kind of world are we living in when the only undefeated NFL team is the Carolina Panthers? #Panthernation baby! #dang  #lovinit
652,"@athousandhorses rocked tonight @ Charlotte, North Carolina https://t.co/0ETZKu2yDx"
653,"@lucyangelband you were awesome in Charlotte @ Charlotte, North Carolina https://t.co/mGXgYOpUPi"
654,#CarolinaPanthers survive and go to 8-0 in the season
655,Getting ready for tomorrow's rhythm and roots run in Shelby North Carolina. Even if I am running in… https://t.co/ouFkm9GKES
656,Just ran 5.38 great pumpkin miles tonight around boiling Springs North Carolina. And let me say I'm… https://t.co/8DNtxeY8Qm
657,#Carolina #PantherNation #pantherpride remain undefeated by knocking off #Seahawks 27-23 http://t.co/z7LePcfBI8
658,@garybarnidge continue to be impressed with your play in @ClevelandBrowns You are missed in Carolina. Happy for your success this year
659,As a fellow film critic I must say I enjoyed several episodes @themoviecourt during a recent #NorthCarolina road trip.
660,Praying for the safety of my South Carolina neighbors during the historic floods
661,"RT @PhilCooke: Speaking tonight for the Salvation Army in North and South Carolina.  
@tsacarolinas @ Raleigh… https://t.co/SQhrWyTpry"
662,Enjoying a Mountain visit with me Mom @ Downtown Waynesville North Carolina https://t.co/QDiWrKrUWT
663,Enjoyed my morning run with my son T-Cube. looking forward to tonight's interview with Earl Owensby at the North Carolina Museum of history.
664,"RT @fayettevillenow: Tar Heel film legend Earl Owensby at N.C. Museum of History: North Carolina filmmaker Earl Owensby, who founded an… ht…"
665,#AnakinSkywalker #JakeLloyd would've escaped police in #SouthCarolina if he'd been driving his podracer
666,If you are in boiling Springs North Carolina today come on out to the crossroads festival for family fun and music provided by Adam long
667,Just ate #thewinningscore livermush pizza at boiling springs North Carolina new restaurant Campus pizzeria #yummygoodness
668,Hey beautiful pre-sunrise run in Spartanburg South Carolina getting ready for the final day of#cnac2015 http://t.co/0mcD6ZHW0P
669,Congrats to @TheGardnerWebb men's and women's basketball for great wins against Coastal Carolina today http://t.co/oq8Kp351iO
670,Excellent walk around boiling Springs North Carolina tonight with my wonderful wife. 25° with a windchill of 14° http://t.co/beawrG1JzN
671,Came in second in my age group at the Elves  and bells 5K in Spindale North Carolina. Thomas Manning… http://t.co/BwFvXESzhI
672,Perfect morning song for today in North Carolina: total eclipse of the heart
673,Just finished the Summerfest 5K in York South Carolina time 27:17. Tough and challenging course but I loved it http://t.co/XW1rXqyazJ
674,Just got in 3.6 miles in 30: 21 at the YMCA indoor track in boiling Springs North Carolina http://t.co/PuoFeMjwfa
675,"Pending doc's approval, my daughter will celebrate her 18th B-day this wk at Skydive Carolina! Beth's jumping too -  http://t.co/wcg4SviOoi"
676,"RT @Variety: Cate Blanchett's lesbian drama ""Carol"" is already sparking Oscar buzz. #Cannes http://t.co/iRJEgVwhom http://t.co/kWGdSjdbKp"
677,RT @Variety: Film Review: ‘I Am Big Bird: The Caroll Spinney Story’ http://t.co/QRoj66VAlh
678,"Hold up, hold up. Consistent @Panthers hater @TDESPN picked against Carolina... again? Say it ain't so. https://t.co/SWgsytkRmD"
679,Listening to ESPN experts saying the Carolina secondary is questionable. Still. Amazing: https://t.co/vJ8XLssFNm
680,RT @ColinCowherd: My opening Super Bowl line is Carolina -36.
681,"RT @Panthers: Your Carolina #Panthers are going to the SUPER BOWL! 

#KeepPounding https://t.co/2gsvTkMNdH"
682,"RT @MikeWilbonSaid: Dear @AZCardinals...

#BeRedSeeRed #Carolina #Panthers

https://t.co/Jzig4INFes"
683,"RT @hornets: Tomorrow we all come together as one to stand behind the @Panthers! Good luck, fellas.

#OneCarolina #KeepPounding https://t.c…"
684,"@KristyPuchko ""Stop trying to make a martini and poached eggs over creamed spinach happen, Carol."""
685,"RT @robertliefeld: Congrats Panthers! Bothers me tremendously that Carolina didn’t score in the 2nd half, tho. Need NFC rep to win Super Bo…"
686,"RT @bearsaremean: Seahawks still have a shot here, all they need is for Carolina to agree to some kind of elaborate point shaving scheme #S…"
687,"@ErickWeber If only Carol and Therese had spent their weekend going door to door, soliciting votes so they could keep their menial jobs....."
688,"@clink203 my only point is, Carolina-Seattle has to happen. You know it"
689,RT @PanthersMax: Newton stayed relaxed in the pocket and waited for Ginn to come open in the corner. 3-yard TD pass puts Carolina in front …
690,"Carol FYC screener doesn't have a @davidehrlich quote, does have Travers. I'll still put it on my ballots, which tells you how good film is."
691,"RT @SportsCenter: STILL PERFECT! Carolina beats Dallas, 33-14, to get to 11-0. Panthers have 6 double-digit wins this yr, most in NFL. http…"
692,"Is EVERY analyst picking the @dallascowboys over my @Panthers? God, that's the BEST! All but guarantees a Carolina victory."
693,CONGRATS to @CarolMovie's 6 #SpiritAwards noms! Both #CateBlanchett &amp; #rooneymara got nom'd for BEST ACTRESS! https://t.co/zTB1z2oyVC
694,"YES!! Ep 3 of INDIES ARE MY JAM is UP! News, hot topics, reviews of #Carol &amp; #Legend! WATCH: https://t.co/GrFXZ7csh6 https://t.co/dTxgM9pgKE"
695,Had WAY too much fun reviewing #SteveJobs #Room &amp; #RockTheKasbah w/ @MichaelNBCLA &amp; @CarolynNBCLA on @NBCLA today!! https://t.co/xonQKv7Zj1
696,RT @OnePerfectShot: THE THIRD MAN (1949) Director of Photography: Robert Krasker | Director: Carol Reed http://t.co/gksnYfyp0d
697,WATCH my #TELLURIDE report for @accesshollywood w/ #SpotlightMovie #Room #Carol &amp; more HERE: http://t.co/3UfzoINxVm http://t.co/IRlVfSpIr2
698,"@aliciamalone @CarolTheMovie I've been excited to see it ever since your rave Cannes review! You were right on: A gorgeous, beautiful film!"
699,"My #Telluride so far: @SpotlightMovie shines bright, @SteveJobsFilm is exhilarating, @CarolTheMovie is gorgeous, Cocksucker Blues sucked!"
700,@CarolTheMovie Thank YOU for a WONDERFUL movie!!!
701,WATCH my #Telluride review for @CarolTheMovie w/ #CateBlanchett &amp; #RooneyMara HERE: http://t.co/hhHL3aE8Hd http://t.co/DmSjoNsDOZ
702,"First #Telluride review: CATE BLANCHETT &amp; ROONEY MARA are superb in #Carol! A gorgeous, beautiful love story! http://t.co/2zsCHFrjGy"
703,EXCITED to be attending my 1st TELLURIDE FILM FEST! Can't wait to see #SteveJobs #BlackMass #Carol #Spotlight #Room &amp; MORE! #Telluride
704,"@SDBolt5026 Spectre, House of Spies, Hateful 8, Black Mass, Carol :)"
705,"Movie B.S. with Bayer and Snider, Episode 289: ‘In the Heart of the Sea,’ ‘Carol,’ ‘Krampus,’ Character Casserole https://t.co/sDddKPPLtS"
706,"Love Always, Carolyn http://t.co/H4Ykewlc"
707,New Full Content Parental Review:  Carol (https://t.co/UBK9JizBBz) #movies #families #parenting #CarolMovie https://t.co/WfjwdFgLx2
708,"RT @CriticsChoice: #CriticsChoice: @BlackMassMovie, @CarolMovie, @danishgirlmov, @thehatefuleight, @madmaxmovie, and @RevenantMovie https:/…"
709,"RT @CriticsChoice: #CriticsChoice Best Costume Design: @CarolMovie, @CinderellaMovie, @danishgirlmov, @madmaxmovie, #BrooklynMovie https://…"
710,"RT @CriticsChoice: #CriticsChoice @CarolMovie, @thehatefuleight, @madmaxmovie, @MartianMovie, @RevenantMovie, @SicarioMovie https://t.co/70…"
711,"RT @CriticsChoice: #CriticsChoice @BridgeOfSpies, #BrooklynMovie, @CarolMovie, @danishgirlmov, @madmaxmovie, @MartianMovie https://t.co/fAW…"
712,"Weekend B.O. Estimates (millions): Princess and Frog (25), Blind Side (15.4), Invictus (9), Twilight New Moon (8), Christmas Carol (6.8)"
713,"Friday B.O. Estimates (millions): Princess and Frog (7), Blind Side (4.7), Invictus (2.9), Twilight New Moon (2.4), Christmas Carol (1.7)"
714,"Weekend B.O. Est. (millions): 2012 (65), Christmas Carol (22.3), The Men Who Stare at Goats (6.2), Precious (6), This is It (5.1)"
715,"Friday B.O. Est. (millions): 2012 (23.7), Christmas Carol (5.6), The Men Who Stare at Goats (1.9), Precious (1.9), The Fourth Kind (1.8)"
716,"Weekend BO Est. (millions): Christmas Carol (31), This is It (14), Men Who Stare at Goats (13.3), 4th Kind (12.5), Paranormal Activity (8.6)"
717,"We're so glad we had this time together: ""The Carol Burnett Show"" debuted on CBS on this day in 1967. http://t.co/4EklrZ1XeW #TVMIFallTV"
718,'The Carol Burnett Show' and 'Little House on the Prairie' Debut - http://t.co/fdCgczWH8M via @Shareaholic
719,Carol Burnett to be honored with the 2015 SAG Life Achievement Award http://t.co/W9cWrC3rrh #TVMIsummer
720,Carol Burnett to be Honored with 2015 SAG Life Achievement Award - http://t.co/C2hjKoklBP via @Shareaholic
721,Cambi is at Carol's Restaurant asking people what they had for breakfast! #WhatsForBreakfast https://t.co/SbpdpVo8TK https://t.co/jJhij8zjIB
722,Goofy is here with some Disney Carolers to perform some holiday songs! https://t.co/64gWWqpmP1 https://t.co/aBU2p0ssou
723,"Julie at Carol's helped us with 2 more #RoverScavengerHunt items. We got her to sing ""I'm a Little… https://t.co/DqzSe9lntf"
724,"RT @TinaMacuha: Person singing ""I'm a Little Teapot"" done thanks Julie at Carol's Restaurant &amp; menu! #RoverScavengerHunt @GoodDaySac https:…"
